Station Ids,STATION NAME,Location,STIPEND (UG),STIPEND (PG),SCHOLARSHIP,No Of Project,REQD DISCIPLINES
779,"A.T.E. Enterprises Private Limited,Research & Development(Ahemdabad)",Ahemdabad,15000,0,0,1,H141
786,"A.T.E. Enterprises Private Limited,Research & Development(Bangalore)",Bangalore,15000,0,0,1,"H106 , H148"
723,Abyeti(Bangalore),Bangalore,18000,0,0,2,-
320,Ace Business and Market Research Group(Surat),Surat,10000,0,0,1,"B1 , H108 , H149"
724,Adaequre(Hyderabad),Hyderabad,15000,0,0,1,-
675,Aditya Birla Chemicals Ltd(Thailand),Thailand,650,0,0,0,-
322,Aditya Birla Corporate IT(Mumbai),Mumbai,15000,0,0,1,"A7 , C6 , H149"
323,Aditya Birla Corporate World Class Manufacturing(Mumbai),Mumbai,8500,0,0,4,"A1 , AB , H142 , H149"
678,Aditya Birla Insulators(Halol),Halol,6800,0,0,1,"A3 , A4 , AB"
328,Aditya Birla Science & Technology Company Ltd.(Mumbai),Mumbai,8500,0,0,2,"A1 , A4 , H101"
762,Adobe Systems(Bangalore),Bangalore,30000,0,0,1,A7
681,Akosha(New Delhi),New Delhi,20000,0,0,1,"A7 , C6"
727,Aldoshik Technologies(New Delhi),New Delhi,10000,0,0,1,-
712,Algoscale Technologies(Gurgaon),Gurgaon,20000,0,0,2,"A3 , A7 , A8 , C6"
333,Alliance Infotech(Noida),Noida,14000,0,0,2,"A1 , A4 , Any , H101 , H106"
335,Altair Engineering India Pvt. Ltd.(Bangalore),Bangalore,15100,0,0,7,-
336,Amadeaus Software Labs India Pvt. Ltd.(Bangalore),Bangalore,18000,0,0,1,-
339,Amazon Development Center(Bangalore),Bangalore,30000,0,0,2,"A7 , Any , C6"
338,Amazon Development Center(Chennai),Chennai,30000,0,0,1,"A7 , C6 , H103 , H112"
337,Amazon Development Center(Hyderabad),Hyderabad,30000,0,0,1,A7
772,AMD India Pvt Ltd(Bangalore),Bangalore,25000,0,0,6,"H123 , H124 , H140"
340,Analog Devices(Bangalore),Bangalore,20000,0,0,2,"A3 , A8 , AA"
771,Ancor Research Labs LLP(Gurgaon),Gurgaon,15000,0,0,2,-
342,anovIP(New Delhi),New Delhi,0,0,0,1,"A7 , AA , H149"
346,APTEAN(Bangalore),Bangalore,27000,0,0,1,"A7 , C6"
347,ARCIs Centre for Fuel Cell Technology(Chennai),Chennai,0,0,8000,1,"A1 , A3 , A4 , AA , B2"
348,ARM(Bangalore),Bangalore,20000,0,0,2,"A3 , A7 , A8 , AA"
787,Artech Realtors Pvt Ltd(Trivandrum),Trivandrum,0,0,0,0,-
788,Arteria(Bangalore),Bangalore,0,0,0,0,-
349,Aruba Networks(Bangalore),Bangalore,25000,0,0,3,"A3 , A7 , AA"
677,Arvind Internet(Bangalore),Bangalore,25000,0,0,2,"A7 , C6"
350,Atrenta india Pvt. Ltd.(Noida),Noida,15000,0,0,1,-
352,Aurum Equity Partners(Gurgaon),Gurgaon,15000,0,0,1,Any
355,Avaya India(Pune),Pune,17000,0,0,1,"A3 , A7 , A8 , AA , C6"
687,Axisom(Mumbai),Mumbai,20000,0,0,2,-
766,Azuga(Bangalore),Bangalore,15000,0,0,1,-
356,Azul Systems(Bangalore),Bangalore,25000,0,0,1,"A7 , C6"
357,B.G.Shirke Construction Technology Pvt. Ltd.(Pune),Pune,9000,0,0,2,"A2 , H143 , H144"
730,Barclays(Mumbai),Mumbai,25000,0,0,1,"B3 , C7 , H149"
757,Barclays(Noida),Noida,25000,0,0,1,-
359,Beckman Coulter (formerly ReaMetrix India P Ltd)(Bangalore),Bangalore,15000,0,0,1,"A1 , A5 , B1 , B2 , H129"
755,Bentley Systems India Pvt Ltd(Pune),Pune,18000,0,0,1,-
101,BHARAT DYNAMICS LTD(Hyderabad),Hyderabad,5000,0,0,1,"A4 , A7 , AA"
212,Bharat Forge Ltd(Pune),Pune,5000,0,0,1,"A4 , AB"
361,Bharti Soft Bank(Gurgaon),Gurgaon,25000,0,0,1,"A7 , B4 , C6"
362,BIDGELY(Bangalore),Bangalore,20000,0,0,1,A7
789,Biocon(Bangalore),Bangalore,0,0,0,0,-
815,Biocon(Bangalore),Bangalore,0,0,0,0,-
363,Birla Copper(Dahej),Dahej,4500,0,0,1,"A1 , A4"
790,Birla Sunlife Insurance(Thane),Thane,0,0,0,0,-
364,Blue Jeans Network India Pvt. Ltd.(Bangalore),Bangalore,25000,0,0,1,"A3 , A7 , A8 , AA , C6"
