StationID,STATION NAME,LOCATION,INDUSTRY DOMAIN,STIPEND (UG),STIPEND (PG),NO. OF PROJECT,PREFERRED DISCIPLINES
1152,Arvind Mills(Ahmedabad),Ahmedabad,,10000,0,2,"A1 , AB , B3"
599,SKF India Ltd.(Ahmedabad),Ahmedabad,Mechanical,8000,0,1,A4
604,Skyquest Technology Consulting Pvt. Ltd.(Ahmedabad),Ahmedabad,Fin&mgt,5000,0,1,"Any , H108 , H146 , H147"
1326,VMS (Vakil Mehta Seth) Consultants Private Limited(Ahmedabad),Ahmedabad,Infrastructure,0,6000,1,H143
1227,"Toshniwal Industries Pvt. Ltd., Industrial (Ajmer)",Ajmer,,14000,0,1,A8
600,Skoda Auto India Pvt. Ltd.(Aurangabad),Aurangabad,Mechanical,12000,14000,6,"A3 , A7 , Any , C6 , H149"
463,[24]7 iLabs(Bangalore),Bangalore,IT,40000,0,4,"A1 , A3 , A7 , A8 , AA , Any , C6"
1306,ABB (Bangalore),Bangalore,,25000,0,1,-
321,Aditya Auto products & Engg (I) .P.Ltd. (Bangalore),Bangalore,Mechanical,12000,12000,1,"A3 , A4"
762,Adobe Systems(Bangalore),Bangalore,IT,30000,0,1,A7
1263,Affine Analytics Pvt. Ltd.(Bangalore),Bangalore,IT,15000,0,1,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , AB , C6 , H103 , H112"
1069,Akira Consultancy Private Limited(Bangalore),Bangalore,Fin&mgt,20000,0,1,Any
335,Altair Engineering India Pvt. Ltd.(Bangalore),Bangalore,Mechanical,15100,0,5,"A2 , A4 , A7 , C6"
339,Amazon Development Center(Bangalore),Bangalore,IT,30000,0,1,"A7 , Any , C6"
1223,Amazon- OPERATIONS(Bangalore),Bangalore,,30000,0,1,Any
340,Analog Devices(Bangalore),Bangalore,Electronics  ,20000,0,8,"A3 , A7 , A8 , AA"
348,ARM Embedded Technologies Private Limited(Bangalore),Bangalore,Electronics  ,20000,0,2,"A3 , A7 , A8 , AA , H103 , H123 , H140"
1153,ARROW DEVICES(Bangalore),Bangalore,Electronics  ,12000,0,1,"A3 , AA"
349,Aruba Networks(Bangalore),Bangalore,IT,25000,0,1,"A3 , A7 , AA"
1215,Aurigo Software(Bangalore),Bangalore,IT,35000,30000,1,"A2 , A7 , H130 , H143 , H144"
1137,Avaya India Private Limited(Bangalore),Bangalore,IT,18000,0,1,"A7 , C6 , H103 , H112"
359,Beckman Coulter (formerly ReaMetrix India P Ltd)(Bangalore),Bangalore,Health Care,15000,0,1,"A1 , A5 , B1 , B2 , H129"
754,belong.co(Bangalore),Bangalore,IT,20000,0,5,"A7 , Any , B4 , C6"
815,Biocon(Bangalore),Bangalore,Health Care,7000,7000,2,"B1 , H108 , H129"
